transacao_id,id_incremental,produto,quantidade,preco_unitario,valor_total,metodo_pagamento,localidade,data_transacao
TXN_7633490,7633490,Cookie,1,1.0,1.0,Cash,Takeaway,2023-10-27
TXN_9292230,9292230,Tea,4,1.5,6.0,Credit Card,In-Store,2023-07-14
TXN_8006668,8006668,Tea,4,1.5,6.0,Credit Card,In-Store,2023-12-22
TXN_3560062,3560062,Cookie,1,1.0,1.0,Cash,In-Store,2023-03-20
TXN_6360132,6360132,Sandwich,4,4.0,16.0,Cash,Takeaway,2023-09-16
TXN_7864939,7864939,Sandwich,3,4.0,12.0,Digital Wallet,In-Store,2023-08-19
TXN_3740963,3740963,Salad,2,5.0,10.0,Digital Wallet,Takeaway,2023-01-22
TXN_6063966,6063966,Juice,2,3.0,6.0,Digital Wallet,Takeaway,2023-10-24
TXN_3779640,3779640,Tea,1,1.5,1.5,Digital Wallet,In-Store,2023-05-16
TXN_8136881,8136881,Salad,3,5.0,15.0,Cash,In-Store,2023-08-28
TXN_3981449,3981449,Smoothie,2,4.0,8.0,Cash,In-Store,2023-06-21
TXN_4033802,4033802,Tea,3,1.5,4.5,Cash,Takeaway,2023-03-02
TXN_4696439,4696439,Cookie,1,1.0,1.0,Cash,In-Store,2023-05-27
TXN_8826983,8826983,Smoothie,5,4.0,20.0,Cash,In-Store,2023-01-14
TXN_2947822,2947822,Cake,4,3.0,12.0,Digital Wallet,In-Store,2023-10-27
TXN_2493446,2493446,Sandwich,1,4.0,4.0,Cash,Takeaway,2023-05-19
TXN_4538354,4538354,Juice,3,3.0,9.0,Cash,Takeaway,2023-04-21
TXN_2690314,2690314,Tea,5,1.5,7.5,Cash,In-Store,2023-08-10
TXN_2968827,2968827,Salad,5,5.0,25.0,Digital Wallet,Takeaway,2023-09-14
TXN_1387401,1387401,Cookie,4,1.0,4.0,Cash,In-Store,2023-10-19
TXN_3917193,3917193,Juice,5,3.0,15.0,Credit Card,Takeaway,2023-11-17
TXN_2062854,2062854,Sandwich,4,4.0,16.0,Digital Wallet,Takeaway,2023-12-01
TXN_5624860,5624860,Tea,3,1.5,4.5,Credit Card,Takeaway,2023-08-22
TXN_3381656,3381656,Cake,5,3.0,15.0,Cash,Takeaway,2023-10-26
TXN_1183995,1183995,Salad,5,5.0,25.0,Digital Wallet,Takeaway,2023-03-28
TXN_7578769,7578769,Sandwich,5,4.0,20.0,Digital Wallet,Takeaway,2023-01-30
TXN_3515664,3515664,Coffee,2,2.0,4.0,Cash,Takeaway,2023-09-25
TXN_6422433,6422433,Sandwich,5,4.0,20.0,Digital Wallet,Takeaway,2023-05-09
TXN_4669664,4669664,Cookie,1,1.0,1.0,Digital Wallet,In-Store,2023-12-21
TXN_2213556,2213556,Coffee,1,2.0,2.0,Cash,In-Store,2023-05-30
TXN_3826038,3826038,Salad,1,5.0,5.0,Cash,Takeaway,2023-10-20
TXN_7380277,7380277,Sandwich,4,4.0,16.0,Digital Wallet,Takeaway,2023-04-24
TXN_9266394,9266394,Cookie,2,1.0,2.0,Credit Card,In-Store,2023-07-12
TXN_6152588,6152588,Coffee,3,2.0,6.0,Cash,Takeaway,2023-11-21
TXN_5739806,5739806,Smoothie,3,4.0,12.0,Credit Card,In-Store,2023-09-18
TXN_9228978,9228978,Coffee,5,2.0,10.0,Digital Wallet,In-Store,2023-02-09
TXN_1124753,1124753,Salad,4,5.0,20.0,Digital Wallet,In-Store,2023-10-19
TXN_7611120,7611120,Juice,2,3.0,6.0,Cash,Takeaway,2023-03-30
TXN_6316959,6316959,Tea,2,1.5,3.0,Cash,In-Store,2023-11-10
TXN_2265984,2265984,Cookie,5,1.0,5.0,Credit Card,Takeaway,2023-10-18
TXN_1123138,1123138,Salad,1,5.0,5.0,Cash,In-Store,2023-02-10
TXN_9212503,9212503,Salad,2,5.0,10.0,Digital Wallet,Takeaway,2023-10-08
TXN_2806243,2806243,Salad,4,5.0,20.0,Digital Wallet,Takeaway,2023-01-14
TXN_3286932,3286932,Cookie,1,1.0,1.0,Digital Wallet,Takeaway,2023-07-11
TXN_3481470,3481470,Salad,4,5.0,20.0,Credit Card,In-Store,2023-12-24
TXN_3469469,3469469,Cookie,1,1.0,1.0,Digital Wallet,In-Store,2023-10-25
TXN_4998786,4998786,Cake,5,3.0,15.0,Credit Card,Takeaway,2023-10-25
TXN_2126408,2126408,Cookie,3,1.0,3.0,Cash,Takeaway,2023-10-19
TXN_8958593,8958593,Juice,5,3.0,15.0,Digital Wallet,In-Store,2023-07-08
TXN_2383598,2383598,Sandwich,2,4.0,8.0,Digital Wallet,In-Store,2023-09-19
TXN_2211685,2211685,Smoothie,1,4.0,4.0,Credit Card,In-Store,2023-06-06
TXN_5933480,5933480,Sandwich,3,4.0,12.0,Digital Wallet,In-Store,2023-09-04
TXN_5447508,5447508,Sandwich,3,4.0,12.0,Digital Wallet,Takeaway,2023-06-28
TXN_5686113,5686113,Sandwich,5,4.0,20.0,Digital Wallet,In-Store,2023-09-09
TXN_3397609,3397609,Smoothie,2,4.0,8.0,Digital Wallet,In-Store,2023-07-22
TXN_9347203,9347203,Sandwich,5,4.0,20.0,Cash,In-Store,2023-04-15
TXN_3383926,3383926,Cake,3,3.0,9.0,Cash,Takeaway,2023-07-08
TXN_6905718,6905718,Salad,5,5.0,25.0,Credit Card,In-Store,2023-02-20
TXN_7993951,7993951,Tea,2,1.5,3.0,Digital Wallet,Takeaway,2023-12-14
TXN_9097641,9097641,Cake,4,3.0,12.0,Cash,Takeaway,2023-12-16
TXN_8536115,8536115,Cake,1,3.0,3.0,Credit Card,Takeaway,2023-07-11
TXN_2915281,2915281,Cookie,1,1.0,1.0,Digital Wallet,In-Store,2023-07-01
TXN_3468006,3468006,Smoothie,3,4.0,12.0,Credit Card,Takeaway,2023-07-28
TXN_7604541,7604541,Juice,4,3.0,12.0,Credit Card,In-Store,2023-04-16
TXN_9238689,9238689,Cake,1,3.0,3.0,Digital Wallet,In-Store,2023-03-09
TXN_2601689,2601689,Salad,4,5.0,20.0,Digital Wallet,Takeaway,2023-01-14
TXN_6428182,6428182,Cake,5,3.0,15.0,Cash,In-Store,2023-11-10
TXN_6830557,6830557,Coffee,3,2.0,6.0,Digital Wallet,Takeaway,2023-11-08
TXN_6371264,6371264,Smoothie,5,4.0,20.0,Cash,Takeaway,2023-02-27
TXN_9236713,9236713,Cookie,5,1.0,5.0,Cash,In-Store,2023-09-13
TXN_4690833,4690833,Cake,1,3.0,3.0,Cash,Takeaway,2023-05-23
TXN_7946489,7946489,Juice,1,3.0,3.0,Cash,Takeaway,2023-09-11
TXN_8661288,8661288,Salad,2,5.0,10.0,Digital Wallet,Takeaway,2023-01-27
TXN_6111710,6111710,Salad,3,5.0,15.0,Credit Card,In-Store,2023-06-18
TXN_1773873,1773873,Salad,5,5.0,25.0,Credit Card,Takeaway,2023-06-10
TXN_4570711,4570711,Sandwich,4,4.0,16.0,Credit Card,In-Store,2023-12-11
TXN_5242469,5242469,Coffee,4,2.0,8.0,Credit Card,Takeaway,2023-04-01
TXN_1655100,1655100,Cake,4,3.0,12.0,Credit Card,Takeaway,2023-12-20
TXN_1526864,1526864,Smoothie,3,4.0,12.0,Digital Wallet,In-Store,2023-01-27
TXN_9866728,9866728,Juice,1,3.0,3.0,Cash,In-Store,2023-10-26
TXN_1706201,1706201,Coffee,3,2.0,6.0,Credit Card,In-Store,2023-08-23
TXN_2498488,2498488,Smoothie,2,4.0,8.0,Digital Wallet,Takeaway,2023-12-06
TXN_4431179,4431179,Sandwich,3,4.0,12.0,Digital Wallet,Takeaway,2023-08-13
TXN_2108894,2108894,Sandwich,4,4.0,16.0,Credit Card,In-Store,2023-10-30
TXN_6347472,6347472,Tea,1,1.5,1.5,Digital Wallet,In-Store,2023-03-22
TXN_8345723,8345723,Sandwich,1,4.0,4.0,Digital Wallet,Takeaway,2023-08-27
TXN_2178964,2178964,Tea,4,1.5,6.0,Cash,Takeaway,2023-12-25
TXN_6581437,6581437,Coffee,5,2.0,10.0,Digital Wallet,Takeaway,2023-10-23
TXN_6128621,6128621,Salad,3,5.0,15.0,Digital Wallet,In-Store,2023-11-10
TXN_4512118,4512118,Coffee,2,2.0,4.0,Digital Wallet,Takeaway,2023-04-20
TXN_4961655,4961655,Juice,5,3.0,15.0,Cash,Takeaway,2023-05-06
TXN_5595352,5595352,Juice,1,3.0,3.0,Cash,In-Store,2023-02-20
TXN_1869814,1869814,Tea,1,1.5,1.5,Digital Wallet,Takeaway,2023-05-24
TXN_6910915,6910915,Tea,4,1.5,6.0,Digital Wallet,Takeaway,2023-05-06
TXN_5229169,5229169,Juice,2,3.0,6.0,Credit Card,Takeaway,2023-09-08
TXN_5576265,5576265,Smoothie,4,4.0,16.0,Credit Card,Takeaway,2023-04-08
TXN_1046394,1046394,Smoothie,1,4.0,4.0,Cash,In-Store,2023-04-29
TXN_2269396,2269396,Coffee,3,2.0,6.0,Digital Wallet,In-Store,2023-10-26
TXN_9263967,9263967,Cookie,3,1.0,3.0,Credit Card,In-Store,2023-09-14
TXN_2914088,2914088,Salad,5,5.0,25.0,Cash,In-Store,2023-03-22
TXN_6571898,6571898,Juice,3,3.0,9.0,Digital Wallet,Takeaway,2023-02-02
TXN_2108486,2108486,Juice,4,3.0,12.0,Digital Wallet,Takeaway,2023-12-28
TXN_5315441,5315441,Smoothie,5,4.0,20.0,Digital Wallet,In-Store,2023-10-31
TXN_9196322,9196322,Cookie,4,1.0,4.0,Digital Wallet,In-Store,2023-08-12
TXN_7838465,7838465,Sandwich,3,4.0,12.0,Credit Card,Takeaway,2023-06-15
TXN_2447261,2447261,Cookie,3,1.0,3.0,Credit Card,Takeaway,2023-10-15
TXN_1460963,1460963,Coffee,3,2.0,6.0,Cash,In-Store,2023-02-10
TXN_6691767,6691767,Salad,2,5.0,10.0,Cash,Takeaway,2023-02-05
TXN_6932070,6932070,Tea,4,1.5,6.0,Credit Card,In-Store,2023-06-10
TXN_4640977,4640977,Cookie,3,1.0,3.0,Credit Card,In-Store,2023-02-11
TXN_7896721,7896721,Cake,3,3.0,9.0,Credit Card,Takeaway,2023-04-22
TXN_7906197,7906197,Sandwich,5,4.0,20.0,Credit Card,In-Store,2023-01-02
TXN_8066743,8066743,Tea,3,1.5,4.5,Cash,Takeaway,2023-11-13
TXN_7585348,7585348,Cake,3,3.0,9.0,Credit Card,Takeaway,2023-03-16
TXN_4005014,4005014,Sandwich,1,4.0,4.0,Digital Wallet,Takeaway,2023-07-10
TXN_4478185,4478185,Cake,2,3.0,6.0,Cash,In-Store,2023-08-25
TXN_3461209,3461209,Juice,4,3.0,12.0,Credit Card,In-Store,2023-04-26
TXN_1026827,1026827,Cookie,4,1.0,4.0,Digital Wallet,In-Store,2023-01-02
TXN_5369555,5369555,Juice,4,3.0,12.0,Cash,Takeaway,2023-02-24
TXN_8187656,8187656,Tea,4,1.5,6.0,Credit Card,Takeaway,2023-05-01
TXN_6463415,6463415,Coffee,3,2.0,6.0,Digital Wallet,In-Store,2023-04-12
TXN_4634772,4634772,Juice,3,3.0,9.0,Credit Card,In-Store,2023-01-12
TXN_8034156,8034156,Sandwich,1,4.0,4.0,Cash,In-Store,2023-07-22
TXN_2163229,2163229,Cookie,4,1.0,4.0,Cash,Takeaway,2023-12-21
TXN_1343750,1343750,Cookie,2,1.0,2.0,Digital Wallet,Takeaway,2023-02-15
TXN_8022689,8022689,Tea,1,1.5,1.5,Cash,Takeaway,2023-06-15
TXN_2416816,2416816,Smoothie,5,4.0,20.0,Digital Wallet,In-Store,2023-10-19
TXN_1778707,1778707,Salad,5,5.0,25.0,Credit Card,Takeaway,2023-03-26
TXN_3746260,3746260,Smoothie,5,4.0,20.0,Digital Wallet,Takeaway,2023-08-26
TXN_3725837,3725837,Coffee,5,2.0,10.0,Cash,In-Store,2023-10-22
TXN_4594922,4594922,Salad,2,5.0,10.0,Credit Card,Takeaway,2023-06-19
TXN_5163686,5163686,Salad,5,5.0,25.0,Credit Card,In-Store,2023-05-29
TXN_2826603,2826603,Salad,2,5.0,10.0,Digital Wallet,Takeaway,2023-06-22
TXN_3760598,3760598,Cake,3,3.0,9.0,Digital Wallet,In-Store,2023-10-24
TXN_7679707,7679707,Tea,1,1.5,1.5,Credit Card,In-Store,2023-07-22
TXN_5007619,5007619,Cake,5,3.0,15.0,Credit Card,In-Store,2023-07-05
TXN_9625287,9625287,Juice,2,3.0,6.0,Cash,In-Store,2023-07-08
TXN_7337979,7337979,Coffee,1,2.0,2.0,Digital Wallet,In-Store,2023-05-27
TXN_5630457,5630457,Smoothie,1,4.0,4.0,Credit Card,Takeaway,2023-03-01
TXN_4487966,4487966,Juice,3,3.0,9.0,Cash,In-Store,2023-08-10
TXN_3663712,3663712,Tea,4,1.5,6.0,Digital Wallet,Takeaway,2023-09-22
TXN_9140598,9140598,Juice,1,3.0,3.0,Digital Wallet,Takeaway,2023-07-10
TXN_3696194,3696194,Salad,2,5.0,10.0,Credit Card,In-Store,2023-11-27
TXN_2964638,2964638,Salad,2,5.0,10.0,Digital Wallet,In-Store,2023-09-28
TXN_8336656,8336656,Salad,5,5.0,25.0,Cash,Takeaway,2023-12-02
TXN_6287890,6287890,Tea,5,1.5,7.5,Credit Card,Takeaway,2023-02-07
TXN_5350401,5350401,Sandwich,2,4.0,8.0,Digital Wallet,In-Store,2023-10-28
TXN_1866028,1866028,Tea,5,1.5,7.5,Credit Card,Takeaway,2023-06-12
TXN_9152264,9152264,Cake,1,3.0,3.0,Digital Wallet,Takeaway,2023-03-15
TXN_3794585,3794585,Sandwich,1,4.0,4.0,Credit Card,In-Store,2023-02-10
TXN_9890874,9890874,Sandwich,5,4.0,20.0,Cash,In-Store,2023-09-02
TXN_6024625,6024625,Coffee,5,2.0,10.0,Digital Wallet,Takeaway,2023-09-13
TXN_7470910,7470910,Salad,2,5.0,10.0,Cash,In-Store,2023-11-22
TXN_1116119,1116119,Smoothie,4,4.0,16.0,Digital Wallet,In-Store,2023-08-07
TXN_3471223,3471223,Coffee,1,2.0,2.0,Digital Wallet,In-Store,2023-10-08
TXN_5021925,5021925,Tea,4,1.5,6.0,Cash,In-Store,2023-05-07
TXN_7764154,7764154,Salad,2,5.0,10.0,Credit Card,Takeaway,2023-12-09
TXN_2178735,2178735,Juice,3,3.0,9.0,Credit Card,Takeaway,2023-07-24
TXN_5014959,5014959,Cookie,2,1.0,2.0,Credit Card,In-Store,2023-11-28
TXN_5348445,5348445,Salad,5,5.0,25.0,Digital Wallet,In-Store,2023-11-15
TXN_7215985,7215985,Tea,4,1.5,6.0,Credit Card,In-Store,2023-08-07
TXN_7448296,7448296,Cookie,1,1.0,1.0,Credit Card,In-Store,2023-11-15
